,Componenti,Valori nutrizionali,Prodotto,Categoria,Fast_Food
298, Protein (g),18,Fresco Burrito Supreme® – Chicken,Chicken & Fish,TacoBell
299, Total Fat (g),8.0,Fresco Burrito Supreme® – Chicken,Chicken & Fish,TacoBell
300,Total Carbs (g),49,Fresco Burrito Supreme® – Chicken,Chicken & Fish,TacoBell
301,Sodium (mg),1090,Fresco Burrito Supreme® – Chicken,Chicken & Fish,TacoBell
302,Calories from Fat,70,Fresco Burrito Supreme® – Chicken,Chicken & Fish,TacoBell
303,Saturated Fat (g),2.5,Fresco Burrito Supreme® – Chicken,Chicken & Fish,TacoBell
304,Trans Fat (g),0.0,Fresco Burrito Supreme® – Chicken,Chicken & Fish,TacoBell
305,Cholesterol (mg),15,Fresco Burrito Supreme® – Chicken,Chicken & Fish,TacoBell
306,Fiber (g),7,Fresco Burrito Supreme® – Chicken,Chicken & Fish,TacoBell
307,Sugars (g),4,Fresco Burrito Supreme® – Chicken,Chicken & Fish,TacoBell
308,Calories,350,Fresco Burrito Supreme® – Steak,Beef & Pork,TacoBell
309, Protein (g),18,Fresco Burrito Supreme® – Steak,Beef & Pork,TacoBell
310, Total Fat (g),9.0,Fresco Burrito Supreme® – Steak,Beef & Pork,TacoBell
311,Total Carbs (g),50,Fresco Burrito Supreme® – Steak,Beef & Pork,TacoBell
312,Sodium (mg),1020,Fresco Burrito Supreme® – Steak,Beef & Pork,TacoBell
313,Calories from Fat,80,Fresco Burrito Supreme® – Steak,Beef & Pork,TacoBell
314,Saturated Fat (g),3.0,Fresco Burrito Supreme® – Steak,Beef & Pork,TacoBell
315,Trans Fat (g),0.0,Fresco Burrito Supreme® – Steak,Beef & Pork,TacoBell
316,Cholesterol (mg),20,Fresco Burrito Supreme® – Steak,Beef & Pork,TacoBell
317,Fiber (g),6,Fresco Burrito Supreme® – Steak,Beef & Pork,TacoBell
318,Sugars (g),4,Fresco Burrito Supreme® – Steak,Beef & Pork,TacoBell
319,Calories,140,Fresco Chicken Soft Taco,Chicken & Fish,TacoBell
320, Protein (g),10,Fresco Chicken Soft Taco,Chicken & Fish,TacoBell
321, Total Fat (g),3.5,Fresco Chicken Soft Taco,Chicken & Fish,TacoBell
322,Total Carbs (g),16,Fresco Chicken Soft Taco,Chicken & Fish,TacoBell
323,Sodium (mg),470,Fresco Chicken Soft Taco,Chicken & Fish,TacoBell
324,Calories from Fat,30,Fresco Chicken Soft Taco,Chicken & Fish,TacoBell
325,Saturated Fat (g),1.0,Fresco Chicken Soft Taco,Chicken & Fish,TacoBell
326,Trans Fat (g),0.0,Fresco Chicken Soft Taco,Chicken & Fish,TacoBell
327,Cholesterol (mg),15,Fresco Chicken Soft Taco,Chicken & Fish,TacoBell
328,Fiber (g),2,Fresco Chicken Soft Taco,Chicken & Fish,TacoBell
329,Sugars (g),2,Fresco Chicken Soft Taco,Chicken & Fish,TacoBell
330,Calories,150,Fresco Crunchy Taco,Beef & Pork,TacoBell
331, Protein (g),6,Fresco Crunchy Taco,Beef & Pork,TacoBell
332, Total Fat (g),8.0,Fresco Crunchy Taco,Beef & Pork,TacoBell
333,Total Carbs (g),13,Fresco Crunchy Taco,Beef & Pork,TacoBell
334,Sodium (mg),310,Fresco Crunchy Taco,Beef & Pork,TacoBell
335,Calories from Fat,70,Fresco Crunchy Taco,Beef & Pork,TacoBell
336,Saturated Fat (g),2.5,Fresco Crunchy Taco,Beef & Pork,TacoBell
337,Trans Fat (g),0.0,Fresco Crunchy Taco,Beef & Pork,TacoBell
338,Cholesterol (mg),20,Fresco Crunchy Taco,Beef & Pork,TacoBell
339,Fiber (g),3,Fresco Crunchy Taco,Beef & Pork,TacoBell
340,Sugars (g),1,Fresco Crunchy Taco,Beef & Pork,TacoBell
341,Calories,150,Fresco Grilled Steak Soft Taco,Beef & Pork,TacoBell
342, Protein (g),11,Fresco Grilled Steak Soft Taco,Beef & Pork,TacoBell
343, Total Fat (g),4.0,Fresco Grilled Steak Soft Taco,Beef & Pork,TacoBell
344,Total Carbs (g),18,Fresco Grilled Steak Soft Taco,Beef & Pork,TacoBell
345,Sodium (mg),410,Fresco Grilled Steak Soft Taco,Beef & Pork,TacoBell
346,Calories from Fat,35,Fresco Grilled Steak Soft Taco,Beef & Pork,TacoBell
347,Saturated Fat (g),1.5,Fresco Grilled Steak Soft Taco,Beef & Pork,TacoBell
348,Trans Fat (g),0.0,Fresco Grilled Steak Soft Taco,Beef & Pork,TacoBell
349,Cholesterol (mg),20,Fresco Grilled Steak Soft Taco,Beef & Pork,TacoBell
350,Fiber (g),2,Fresco Grilled Steak Soft Taco,Beef & Pork,TacoBell
351,Sugars (g),2,Fresco Grilled Steak Soft Taco,Beef & Pork,TacoBell
352,Calories,160,Fresco Soft Taco,Beef & Pork,TacoBell
353, Protein (g),8,Fresco Soft Taco,Beef & Pork,TacoBell
354, Total Fat (g),7.0,Fresco Soft Taco,Beef & Pork,TacoBell
355,Total Carbs (g),18,Fresco Soft Taco,Beef & Pork,TacoBell
356,Sodium (mg),490,Fresco Soft Taco,Beef & Pork,TacoBell
357,Calories from Fat,60,Fresco Soft Taco,Beef & Pork,TacoBell
358,Saturated Fat (g),2.5,Fresco Soft Taco,Beef & Pork,TacoBell
359,Trans Fat (g),0.0,Fresco Soft Taco,Beef & Pork,TacoBell
360,Cholesterol (mg),20,Fresco Soft Taco,Beef & Pork,TacoBell
361,Fiber (g),3,Fresco Soft Taco,Beef & Pork,TacoBell
362,Sugars (g),2,Fresco Soft Taco,Beef & Pork,TacoBell
363,Calories,500,Cheesy Gordita Crunch,Snacks & Sides,TacoBell
364, Protein (g),20,Cheesy Gordita Crunch,Snacks & Sides,TacoBell
365, Total Fat (g),29.0,Cheesy Gordita Crunch,Snacks & Sides,TacoBell
366,Total Carbs (g),39,Cheesy Gordita Crunch,Snacks & Sides,TacoBell
367,Sodium (mg),830,Cheesy Gordita Crunch,Snacks & Sides,TacoBell
368,Calories from Fat,260,Cheesy Gordita Crunch,Snacks & Sides,TacoBell
369,Saturated Fat (g),10.0,Cheesy Gordita Crunch,Snacks & Sides,TacoBell
370,Trans Fat (g),0.5,Cheesy Gordita Crunch,Snacks & Sides,TacoBell
371,Cholesterol (mg),55,Cheesy Gordita Crunch,Snacks & Sides,TacoBell
372,Fiber (g),5,Cheesy Gordita Crunch,Snacks & Sides,TacoBell
373,Sugars (g),6,Cheesy Gordita Crunch,Snacks & Sides,TacoBell
374,Calories,270,Gordita Supreme® – Chicken,Snacks & Sides,TacoBell
375, Protein (g),16,Gordita Supreme® – Chicken,Snacks & Sides,TacoBell
376, Total Fat (g),10.0,Gordita Supreme® – Chicken,Snacks & Sides,TacoBell
377,Total Carbs (g),29,Gordita Supreme® – Chicken,Snacks & Sides,TacoBell
378,Sodium (mg),510,Gordita Supreme® – Chicken,Snacks & Sides,TacoBell
379,Calories from Fat,90,Gordita Supreme® – Chicken,Snacks & Sides,TacoBell
380,Saturated Fat (g),3.5,Gordita Supreme® – Chicken,Snacks & Sides,TacoBell
381,Trans Fat (g),0.0,Gordita Supreme® – Chicken,Snacks & Sides,TacoBell
382,Cholesterol (mg),40,Gordita Supreme® – Chicken,Snacks & Sides,TacoBell
383,Fiber (g),2,Gordita Supreme® – Chicken,Snacks & Sides,TacoBell
384,Sugars (g),6,Gordita Supreme® – Chicken,Snacks & Sides,TacoBell
385,Calories,280,Gordita Supreme® – Steak,Snacks & Sides,TacoBell
386, Protein (g),16,Gordita Supreme® – Steak,Snacks & Sides,TacoBell
387, Total Fat (g),11.0,Gordita Supreme® – Steak,Snacks & Sides,TacoBell
388,Total Carbs (g),30,Gordita Supreme® – Steak,Snacks & Sides,TacoBell
389,Sodium (mg),480,Gordita Supreme® – Steak,Snacks & Sides,TacoBell
390,Calories from Fat,100,Gordita Supreme® – Steak,Snacks & Sides,TacoBell
391,Saturated Fat (g),4.0,Gordita Supreme® – Steak,Snacks & Sides,TacoBell
392,Trans Fat (g),0.0,Gordita Supreme® – Steak,Snacks & Sides,TacoBell
393,Cholesterol (mg),35,Gordita Supreme® – Steak,Snacks & Sides,TacoBell
394,Fiber (g),3,Gordita Supreme® – Steak,Snacks & Sides,TacoBell
395,Sugars (g),6,Gordita Supreme® – Steak,Snacks & Sides,TacoBell
396,Calories,300,Gordita Supreme® – Beef,Snacks & Sides,TacoBell
397, Protein (g),13,Gordita Supreme® – Beef,Snacks & Sides,TacoBell
398, Total Fat (g),14.0,Gordita Supreme® – Beef,Snacks & Sides,TacoBell
399,Total Carbs (g),31,Gordita Supreme® – Beef,Snacks & Sides,TacoBell
400,Sodium (mg),570,Gordita Supreme® – Beef,Snacks & Sides,TacoBell
401,Calories from Fat,120,Gordita Supreme® – Beef,Snacks & Sides,TacoBell
402,Saturated Fat (g),5.0,Gordita Supreme® – Beef,Snacks & Sides,TacoBell
403,Trans Fat (g),0.0,Gordita Supreme® – Beef,Snacks & Sides,TacoBell
404,Cholesterol (mg),30,Gordita Supreme® – Beef,Snacks & Sides,TacoBell
405,Fiber (g),4,Gordita Supreme® – Beef,Snacks & Sides,TacoBell
406,Sugars (g),6,Gordita Supreme® – Beef,Snacks & Sides,TacoBell
407,Calories,290,Cheesy Nachos,Snacks & Sides,TacoBell
408, Protein (g),4,Cheesy Nachos,Snacks & Sides,TacoBell
409, Total Fat (g),16.0,Cheesy Nachos,Snacks & Sides,TacoBell
410,Total Carbs (g),31,Cheesy Nachos,Snacks & Sides,TacoBell
411,Sodium (mg),340,Cheesy Nachos,Snacks & Sides,TacoBell
412,Calories from Fat,150,Cheesy Nachos,Snacks & Sides,TacoBell
413,Saturated Fat (g),1.5,Cheesy Nachos,Snacks & Sides,TacoBell
414,Trans Fat (g),0.0,Cheesy Nachos,Snacks & Sides,TacoBell
415,Cholesterol (mg),0,Cheesy Nachos,Snacks & Sides,TacoBell
416,Fiber (g),3,Cheesy Nachos,Snacks & Sides,TacoBell
417,Sugars (g),2,Cheesy Nachos,Snacks & Sides,TacoBell
418,Calories,320,Nachos,Snacks & Sides,TacoBell
419, Protein (g),4,Nachos,Snacks & Sides,TacoBell
420, Total Fat (g),19.0,Nachos,Snacks & Sides,TacoBell
421,Total Carbs (g),33,Nachos,Snacks & Sides,TacoBell
422,Sodium (mg),430,Nachos,Snacks & Sides,TacoBell
423,Calories from Fat,170,Nachos,Snacks & Sides,TacoBell
424,Saturated Fat (g),2.0,Nachos,Snacks & Sides,TacoBell
425,Trans Fat (g),0.0,Nachos,Snacks & Sides,TacoBell
426,Cholesterol (mg),0,Nachos,Snacks & Sides,TacoBell
427,Fiber (g),3,Nachos,Snacks & Sides,TacoBell
428,Sugars (g),3,Nachos,Snacks & Sides,TacoBell
429,Calories,780,Nachos BellGrande®,Snacks & Sides,TacoBell
430, Protein (g),20,Nachos BellGrande®,Snacks & Sides,TacoBell
431, Total Fat (g),40.0,Nachos BellGrande®,Snacks & Sides,TacoBell
432,Total Carbs (g),84,Nachos BellGrande®,Snacks & Sides,TacoBell
433,Sodium (mg),1270,Nachos BellGrande®,Snacks & Sides,TacoBell
434,Calories from Fat,360,Nachos BellGrande®,Snacks & Sides,TacoBell
435,Saturated Fat (g),7.0,Nachos BellGrande®,Snacks & Sides,TacoBell
436,Trans Fat (g),0.0,Nachos BellGrande®,Snacks & Sides,TacoBell
437,Cholesterol (mg),25,Nachos BellGrande®,Snacks & Sides,TacoBell
438,Fiber (g),13,Nachos BellGrande®,Snacks & Sides,TacoBell
439,Sugars (g),6,Nachos BellGrande®,Snacks & Sides,TacoBell
440,Calories,460,Nachos Supreme,Snacks & Sides,TacoBell
441, Protein (g),13,Nachos Supreme,Snacks & Sides,TacoBell
442, Total Fat (g),25.0,Nachos Supreme,Snacks & Sides,TacoBell
443,Total Carbs (g),46,Nachos Supreme,Snacks & Sides,TacoBell
444,Sodium (mg),830,Nachos Supreme,Snacks & Sides,TacoBell
445,Calories from Fat,220,Nachos Supreme,Snacks & Sides,TacoBell
446,Saturated Fat (g),5.0,Nachos Supreme,Snacks & Sides,TacoBell
447,Trans Fat (g),0.0,Nachos Supreme,Snacks & Sides,TacoBell
448,Cholesterol (mg),25,Nachos Supreme,Snacks & Sides,TacoBell
449,Fiber (g),8,Nachos Supreme,Snacks & Sides,TacoBell
450,Sugars (g),4,Nachos Supreme,Snacks & Sides,TacoBell
451,Calories,990,Volcano Nachos,Snacks & Sides,TacoBell
452, Protein (g),22,Volcano Nachos,Snacks & Sides,TacoBell
453, Total Fat (g),59.0,Volcano Nachos,Snacks & Sides,TacoBell
454,Total Carbs (g),94,Volcano Nachos,Snacks & Sides,TacoBell
455,Sodium (mg),1840,Volcano Nachos,Snacks & Sides,TacoBell
456,Calories from Fat,530,Volcano Nachos,Snacks & Sides,TacoBell
457,Saturated Fat (g),9.0,Volcano Nachos,Snacks & Sides,TacoBell
458,Trans Fat (g),0.5,Volcano Nachos,Snacks & Sides,TacoBell
459,Cholesterol (mg),40,Volcano Nachos,Snacks & Sides,TacoBell
460,Fiber (g),15,Volcano Nachos,Snacks & Sides,TacoBell
461,Sugars (g),7,Volcano Nachos,Snacks & Sides,TacoBell
462,Calories,80,Black Beans,Snacks & Sides,TacoBell
463, Protein (g),4,Black Beans,Snacks & Sides,TacoBell
464, Total Fat (g),1.5,Black Beans,Snacks & Sides,TacoBell
465,Total Carbs (g),12,Black Beans,Snacks & Sides,TacoBell
466,Sodium (mg),200,Black Beans,Snacks & Sides,TacoBell
467,Calories from Fat,10,Black Beans,Snacks & Sides,TacoBell
468,Saturated Fat (g),0.0,Black Beans,Snacks & Sides,TacoBell
469,Trans Fat (g),0.0,Black Beans,Snacks & Sides,TacoBell
470,Cholesterol (mg),0,Black Beans,Snacks & Sides,TacoBell
471,Fiber (g),5,Black Beans,Snacks & Sides,TacoBell
472,Sugars (g),1,Black Beans,Snacks & Sides,TacoBell
473,Calories,180,Black Beans and Rice,Snacks & Sides,TacoBell
474, Protein (g),6,Black Beans and Rice,Snacks & Sides,TacoBell
475, Total Fat (g),4.0,Black Beans and Rice,Snacks & Sides,TacoBell
476,Total Carbs (g),30,Black Beans and Rice,Snacks & Sides,TacoBell
477,Sodium (mg),430,Black Beans and Rice,Snacks & Sides,TacoBell
478,Calories from Fat,35,Black Beans and Rice,Snacks & Sides,TacoBell
479,Saturated Fat (g),0.0,Black Beans and Rice,Snacks & Sides,TacoBell
480,Trans Fat (g),0.0,Black Beans and Rice,Snacks & Sides,TacoBell
481,Cholesterol (mg),0,Black Beans and Rice,Snacks & Sides,TacoBell
482,Fiber (g),5,Black Beans and Rice,Snacks & Sides,TacoBell
483,Sugars (g),1,Black Beans and Rice,Snacks & Sides,TacoBell
484,Calories,400,Brownie Sandwich,Desserts,TacoBell
485, Protein (g),3,Brownie Sandwich,Desserts,TacoBell
486, Total Fat (g),18.0,Brownie Sandwich,Desserts,TacoBell
487,Total Carbs (g),55,Brownie Sandwich,Desserts,TacoBell
488,Sodium (mg),200,Brownie Sandwich,Desserts,TacoBell
489,Calories from Fat,170,Brownie Sandwich,Desserts,TacoBell
490,Saturated Fat (g),8.0,Brownie Sandwich,Desserts,TacoBell
491,Trans Fat (g),0.0,Brownie Sandwich,Desserts,TacoBell
492,Cholesterol (mg),20,Brownie Sandwich,Desserts,TacoBell
493,Fiber (g),3,Brownie Sandwich,Desserts,TacoBell
494,Sugars (g),38,Brownie Sandwich,Desserts,TacoBell
495,Calories,310,Caramel Apple Empanada,Desserts,TacoBell
496, Protein (g),3,Caramel Apple Empanada,Desserts,TacoBell
497, Total Fat (g),15.0,Caramel Apple Empanada,Desserts,TacoBell
498,Total Carbs (g),39,Caramel Apple Empanada,Desserts,TacoBell
499,Sodium (mg),310,Caramel Apple Empanada,Desserts,TacoBell
500,Calories from Fat,140,Caramel Apple Empanada,Desserts,TacoBell
501,Saturated Fat (g),2.5,Caramel Apple Empanada,Desserts,TacoBell
502,Trans Fat (g),0.0,Caramel Apple Empanada,Desserts,TacoBell
503,Cholesterol (mg),0,Caramel Apple Empanada,Desserts,TacoBell
504,Fiber (g),2,Caramel Apple Empanada,Desserts,TacoBell
505,Sugars (g),13,Caramel Apple Empanada,Desserts,TacoBell
506,Calories,280,Cheesy Fiesta Potatoes,Snacks & Sides,TacoBell
507, Protein (g),4,Cheesy Fiesta Potatoes,Snacks & Sides,TacoBell
508, Total Fat (g),15.0,Cheesy Fiesta Potatoes,Snacks & Sides,TacoBell
509,Total Carbs (g),31,Cheesy Fiesta Potatoes,Snacks & Sides,TacoBell
510,Sodium (mg),580,Cheesy Fiesta Potatoes,Snacks & Sides,TacoBell
511,Calories from Fat,140,Cheesy Fiesta Potatoes,Snacks & Sides,TacoBell
512,Saturated Fat (g),2.5,Cheesy Fiesta Potatoes,Snacks & Sides,TacoBell
513,Trans Fat (g),0.0,Cheesy Fiesta Potatoes,Snacks & Sides,TacoBell
514,Cholesterol (mg),10,Cheesy Fiesta Potatoes,Snacks & Sides,TacoBell
515,Fiber (g),3,Cheesy Fiesta Potatoes,Snacks & Sides,TacoBell
516,Sugars (g),2,Cheesy Fiesta Potatoes,Snacks & Sides,TacoBell
517,Calories,280,Chips and Corn Salsa,Snacks & Sides,TacoBell
518, Protein (g),4,Chips and Corn Salsa,Snacks & Sides,TacoBell
519, Total Fat (g),12.0,Chips and Corn Salsa,Snacks & Sides,TacoBell
520,Total Carbs (g),38,Chips and Corn Salsa,Snacks & Sides,TacoBell
521,Sodium (mg),230,Chips and Corn Salsa,Snacks & Sides,TacoBell
522,Calories from Fat,110,Chips and Corn Salsa,Snacks & Sides,TacoBell
523,Saturated Fat (g),1.0,Chips and Corn Salsa,Snacks & Sides,TacoBell
524,Trans Fat (g),0.0,Chips and Corn Salsa,Snacks & Sides,TacoBell
525,Cholesterol (mg),0,Chips and Corn Salsa,Snacks & Sides,TacoBell
526,Fiber (g),6,Chips and Corn Salsa,Snacks & Sides,TacoBell
527,Sugars (g),5,Chips and Corn Salsa,Snacks & Sides,TacoBell
528,Calories,320,Chips and Guacamole,Snacks & Sides,TacoBell
529, Protein (g),4,Chips and Guacamole,Snacks & Sides,TacoBell
530, Total Fat (g),20.0,Chips and Guacamole,Snacks & Sides,TacoBell
531,Total Carbs (g),32,Chips and Guacamole,Snacks & Sides,TacoBell
532,Sodium (mg),450,Chips and Guacamole,Snacks & Sides,TacoBell
533,Calories from Fat,180,Chips and Guacamole,Snacks & Sides,TacoBell
534,Saturated Fat (g),2.5,Chips and Guacamole,Snacks & Sides,TacoBell
535,Trans Fat (g),0.0,Chips and Guacamole,Snacks & Sides,TacoBell
536,Cholesterol (mg),0,Chips and Guacamole,Snacks & Sides,TacoBell
537,Fiber (g),6,Chips and Guacamole,Snacks & Sides,TacoBell
538,Sugars (g),1,Chips and Guacamole,Snacks & Sides,TacoBell
539,Calories,230,Chips and Pico De Gallo,Snacks & Sides,TacoBell
540, Protein (g),3,Chips and Pico De Gallo,Snacks & Sides,TacoBell
541, Total Fat (g),11.0,Chips and Pico De Gallo,Snacks & Sides,TacoBell
542,Total Carbs (g),30,Chips and Pico De Gallo,Snacks & Sides,TacoBell
543,Sodium (mg),260,Chips and Pico De Gallo,Snacks & Sides,TacoBell
544,Calories from Fat,100,Chips and Pico De Gallo,Snacks & Sides,TacoBell
545,Saturated Fat (g),1.0,Chips and Pico De Gallo,Snacks & Sides,TacoBell
546,Trans Fat (g),0.0,Chips and Pico De Gallo,Snacks & Sides,TacoBell
547,Cholesterol (mg),0,Chips and Pico De Gallo,Snacks & Sides,TacoBell
548,Fiber (g),3,Chips and Pico De Gallo,Snacks & Sides,TacoBell
549,Sugars (g),2,Chips and Pico De Gallo,Snacks & Sides,TacoBell
550,Calories,190,Churro,Desserts,TacoBell
551, Protein (g),2,Churro,Desserts,TacoBell
552, Total Fat (g),8.0,Churro,Desserts,TacoBell
553,Total Carbs (g),28,Churro,Desserts,TacoBell
554,Sodium (mg),230,Churro,Desserts,TacoBell
555,Calories from Fat,80,Churro,Desserts,TacoBell
556,Saturated Fat (g),1.0,Churro,Desserts,TacoBell
557,Trans Fat (g),0.0,Churro,Desserts,TacoBell
558,Cholesterol (mg),15,Churro,Desserts,TacoBell
559,Fiber (g),1,Churro,Desserts,TacoBell
560,Sugars (g),5,Churro,Desserts,TacoBell
561,Calories,170,Cinnamon Twists,Desserts,TacoBell
562, Protein (g),1,Cinnamon Twists,Desserts,TacoBell
563, Total Fat (g),7.0,Cinnamon Twists,Desserts,TacoBell
564,Total Carbs (g),26,Cinnamon Twists,Desserts,TacoBell
565,Sodium (mg),200,Cinnamon Twists,Desserts,TacoBell
566,Calories from Fat,60,Cinnamon Twists,Desserts,TacoBell
567,Saturated Fat (g),0.0,Cinnamon Twists,Desserts,TacoBell
568,Trans Fat (g),0.0,Cinnamon Twists,Desserts,TacoBell
569,Cholesterol (mg),0,Cinnamon Twists,Desserts,TacoBell
570,Fiber (g),1,Cinnamon Twists,Desserts,TacoBell
571,Sugars (g),10,Cinnamon Twists,Desserts,TacoBell
572,Calories,190,Pintos n Cheese,Snacks & Sides,TacoBell
573, Protein (g),11,Pintos n Cheese,Snacks & Sides,TacoBell
574, Total Fat (g),7.0,Pintos n Cheese,Snacks & Sides,TacoBell
575,Total Carbs (g),21,Pintos n Cheese,Snacks & Sides,TacoBell
576,Sodium (mg),670,Pintos n Cheese,Snacks & Sides,TacoBell
577,Calories from Fat,60,Pintos n Cheese,Snacks & Sides,TacoBell
578,Saturated Fat (g),3.0,Pintos n Cheese,Snacks & Sides,TacoBell
579,Trans Fat (g),0.0,Pintos n Cheese,Snacks & Sides,TacoBell
580,Cholesterol (mg),10,Pintos n Cheese,Snacks & Sides,TacoBell
581,Fiber (g),6,Pintos n Cheese,Snacks & Sides,TacoBell
582,Sugars (g),1,Pintos n Cheese,Snacks & Sides,TacoBell
583,Calories,100,Premium Latin Rice,Snacks & Sides,TacoBell
584, Protein (g),2,Premium Latin Rice,Snacks & Sides,TacoBell
585, Total Fat (g),2.5,Premium Latin Rice,Snacks & Sides,TacoBell
586,Total Carbs (g),18,Premium Latin Rice,Snacks & Sides,TacoBell
587,Sodium (mg),230,Premium Latin Rice,Snacks & Sides,TacoBell
588,Calories from Fat,25,Premium Latin Rice,Snacks & Sides,TacoBell
589,Saturated Fat (g),0.0,Premium Latin Rice,Snacks & Sides,TacoBell
590,Trans Fat (g),0.0,Premium Latin Rice,Snacks & Sides,TacoBell
591,Cholesterol (mg),0,Premium Latin Rice,Snacks & Sides,TacoBell
592,Fiber (g),0,Premium Latin Rice,Snacks & Sides,TacoBell
593,Sugars (g),0,Premium Latin Rice,Snacks & Sides,TacoBell
594,Calories,420,Beefy Nacho Griller,Beef & Pork,TacoBell
595, Protein (g),12,Beefy Nacho Griller,Beef & Pork,TacoBell
596, Total Fat (g),19.0,Beefy Nacho Griller,Beef & Pork,TacoBell
597,Total Carbs (g),49,Beefy Nacho Griller,Beef & Pork,TacoBell
598,Sodium (mg),890,Beefy Nacho Griller,Beef & Pork,TacoBell
599,Calories from Fat,170,Beefy Nacho Griller,Beef & Pork,TacoBell
600,Saturated Fat (g),4.5,Beefy Nacho Griller,Beef & Pork,TacoBell
601,Trans Fat (g),0.0,Beefy Nacho Griller,Beef & Pork,TacoBell
602,Cholesterol (mg),20,Beefy Nacho Griller,Beef & Pork,TacoBell
603,Fiber (g),5,Beefy Nacho Griller,Beef & Pork,TacoBell
604,Sugars (g),4,Beefy Nacho Griller,Beef & Pork,TacoBell
605,Calories,510,Cantina Bowl – Veggie,Salads,TacoBell
606, Protein (g),14,Cantina Bowl – Veggie,Salads,TacoBell
607, Total Fat (g),20.0,Cantina Bowl – Veggie,Salads,TacoBell
608,Total Carbs (g),69,Cantina Bowl – Veggie,Salads,TacoBell
609,Sodium (mg),1240,Cantina Bowl – Veggie,Salads,TacoBell
610,Calories from Fat,180,Cantina Bowl – Veggie,Salads,TacoBell
611,Saturated Fat (g),3.0,Cantina Bowl – Veggie,Salads,TacoBell
612,Trans Fat (g),0.0,Cantina Bowl – Veggie,Salads,TacoBell
613,Cholesterol (mg),10,Cantina Bowl – Veggie,Salads,TacoBell
614,Fiber (g),14,Cantina Bowl – Veggie,Salads,TacoBell
