"";"Product_Name";"Food_Category";"Calories";"Total_Fat.g";"Sodium.mg";"Total_Carbs.g";"Sugars.g";"Protein.g";"Calories_FGC";"Fat_FGC";"Sodium_FGC";"Carboidrati_FGC";"Zucchero_FGC";"Proteine_FGC"
"174";"Bacon; Egg & Cheese Biscuit (Regular Biscuit)";"Breakfast";460;26;1300;38;3;19;19,2;41,9;86,7;16,9;8;33,9
"175";"Bacon; Egg & Cheese Biscuit (Large Biscuit)";"Breakfast";520;30;1410;43;4;19;21,7;48,4;94;19,1;10,7;33,9
"176";"Bacon; Egg & Cheese Biscuit with Egg Whites (Regular Biscuit)";"Breakfast";410;20;1300;36;3;20;17,1;32,3;86,7;16;8;35,7
"177";"Bacon; Egg & Cheese Biscuit with Egg Whites (Large Biscuit)";"Breakfast";470;25;1420;42;4;20;19,6;40,3;94,7;18,7;10,7;35,7
"178";"Sausage Biscuit (Regular Biscuit)";"Breakfast";430;27;1080;34;2;11;17,9;43,5;72;15,1;5,3;19,6
"179";"Sausage Biscuit (Large Biscuit)";"Breakfast";480;31;1190;39;3;11;20;50;79,3;17,3;8;19,6
"180";"Sausage Biscuit with Egg (Regular Biscuit)";"Breakfast";510;33;1170;36;2;18;21,2;53,2;78;16;5,3;32,1
"181";"Sausage Biscuit with Egg (Large Biscuit)";"Breakfast";570;37;1280;42;3;18;23,8;59,7;85,3;18,7;8;32,1
"182";"Sausage Biscuit with Egg Whites (Regular Biscuit)";"Breakfast";460;27;1180;34;3;18;19,2;43,5;78,7;15,1;8;32,1
"183";"Sausage Biscuit with Egg Whites (Large Biscuit)";"Breakfast";520;32;1290;40;3;18;21,7;51,6;86;17,8;8;32,1
"184";"Southern Style Chicken Biscuit (Regular Biscuit)";"Breakfast";410;20;1180;41;3;17;17,1;32,3;78,7;18,2;8;30,4
"185";"Southern Style Chicken Biscuit (Large Biscuit)";"Breakfast";470;24;1290;46;4;17;19,6;38,7;86;20,4;10,7;30,4
"186";"Steak & Egg Biscuit (Regular Biscuit)";"Breakfast";540;32;1470;38;3;25;22,5;51,6;98;16,9;8;44,6
"187";"Bacon; Egg & Cheese McGriddles";"Breakfast";460;21;1250;48;15;19;19,2;33,9;83,3;21,3;40;33,9
"188";"Bacon; Egg & Cheese McGriddles with Egg Whites";"Breakfast";400;15;1250;47;16;20;16,7;24,2;83,3;20,9;42,7;35,7
"189";"Sausage McGriddles";"Breakfast";420;22;1030;44;15;11;17,5;35,5;68,7;19,6;40;19,6
"190";"Sausage; Egg & Cheese McGriddles";"Breakfast";550;31;1320;48;15;20;22,9;50;88;21,3;40;35,7
"191";"Sausage; Egg & Cheese McGriddles with Egg Whites";"Breakfast";500;26;1320;46;15;21;20,8;41,9;88;20,4;40;37,5
"192";"Bacon; Egg & Cheese Bagel";"Breakfast";620;31;1480;57;7;30;25,8;50;98,7;25,3;18,7;53,6
"193";"Bacon; Egg & Cheese Bagel with Egg Whites";"Breakfast";570;25;1480;55;8;30;23,8;40,3;98,7;24,4;21,3;53,6
"194";"Steak; Egg & Cheese Bagel";"Breakfast";670;35;1510;56;7;33;27,9;56,5;100,7;24,9;18,7;58,9
"195";"Big Breakfast (Regular Biscuit)";"Breakfast";740;48;1560;51;3;28;30,8;77,4;104;22,7;8;50
"196";"Big Breakfast (Large Biscuit)";"Breakfast";800;52;1680;56;3;28;33,3;83,9;112;24,9;8;50
"197";"Big Breakfast with Egg Whites (Regular Biscuit)";"Breakfast";640;37;1590;50;3;26;26,7;59,7;106;22,2;8;46,4
"198";"Big Breakfast with Egg Whites (Large Biscuit)";"Breakfast";690;41;1700;55;4;26;28,7;66,1;113,3;24,4;10,7;46,4
"199";"Big Breakfast with Hotcakes (Regular Biscuit)";"Breakfast";1090;56;2150;111;17;36;45,4;90,3;143,3;49,3;45,3;64,3
"200";"Big Breakfast with Hotcakes (Large Biscuit)";"Breakfast";1150;60;2260;116;17;36;47,9;96,8;150,7;51,6;45,3;64,3
"201";"Big Breakfast with Hotcakes and Egg Whites (Regular Biscuit)";"Breakfast";990;46;2170;110;17;35;41,2;74,2;144,7;48,9;45,3;62,5
"202";"Big Breakfast with Hotcakes and Egg Whites (Large Biscuit)";"Breakfast";1050;50;2290;115;18;35;43,8;80,6;152,7;51,1;48;62,5
"203";"Hotcakes";"Breakfast";350;9;590;60;14;8;14,6;14,5;39,3;26,7;37,3;14,3
"204";"Hotcakes and Sausage";"Breakfast";520;24;930;61;14;15;21,7;38,7;62;27,1;37,3;26,8
"205";"Sausage Burrito";"Breakfast";300;16;790;26;2;12;12,5;25,8;52,7;11,6;5,3;21,4
"206";"Hash Brown";"Breakfast";150;9;310;15;0;1;6,2;14,5;20,7;6,7;0;1,8
"207";"Cinnamon Melts";"Breakfast";460;19;370;66;32;6;19,2;30,6;24,7;29,3;85,3;10,7
"208";"Fruit & Maple Oatmeal";"Breakfast";290;4;160;58;32;5;12,1;6,5;10,7;25,8;85,3;8,9
"209";"Fruit & Maple Oatmeal without Brown Sugar";"Breakfast";260;4;115;49;18;5;10,8;6,5;7,7;21,8;48;8,9
"210";"Big Mac";"Beef & Pork";530;27;960;47;9;24;22,1;43,5;64;20,9;24;42,9
"211";"Quarter Pounder with Cheese";"Beef & Pork";520;26;1100;41;10;30;21,7;41,9;73,3;18,2;26,7;53,6
"212";"Quarter Pounder with Bacon & Cheese";"Beef & Pork";600;29;1440;48;12;37;25;46,8;96;21,3;32;66,1
"213";"Quarter Pounder with Bacon Habanero Ranch";"Beef & Pork";610;31;1180;46;10;37;25,4;50;78,7;20,4;26,7;66,1
"214";"Quarter Pounder Deluxe";"Beef & Pork";540;27;960;45;9;29;22,5;43,5;64;20;24;51,8
"215";"Double Quarter Pounder with Cheese";"Beef & Pork";750;43;1280;42;10;48;31,2;69,4;85,3;18,7;26,7;85,7
"216";"Hamburger";"Beef & Pork";240;8;480;32;6;12;10;12,9;32;14,2;16;21,4
"217";"Cheeseburger";"Beef & Pork";290;11;680;33;7;15;12,1;17,7;45,3;14,7;18,7;26,8
"218";"Double Cheeseburger";"Beef & Pork";430;21;1040;35;7;24;17,9;33,9;69,3;15,6;18,7;42,9
"219";"Bacon Clubhouse Burger";"Beef & Pork";720;40;1470;51;14;39;30;64,5;98;22,7;37,3;69,6
"220";"McDouble";"Beef & Pork";380;17;840;34;7;22;15,8;27,4;56;15,1;18,7;39,3
"221";"Bacon McDouble";"Beef & Pork";440;22;1110;35;7;27;18,3;35,5;74;15,6;18,7;48,2
"222";"Daily Double";"Beef & Pork";430;22;760;34;7;22;17,9;35,5;50,7;15,1;18,7;39,3
"223";"Jalapeño Double";"Beef & Pork";430;23;1030;35;6;22;17,9;37,1;68,7;15,6;16;39,3
"224";"McRib";"Beef & Pork";500;26;980;44;11;22;20,8;41,9;65,3;19,6;29,3;39,3
"225";"Premium Crispy Chicken Classic Sandwich";"Chicken & Fish";510;22;990;55;10;24;21,2;35,5;66;24,4;26,7;42,9
"226";"Premium Grilled Chicken Classic Sandwich";"Chicken & Fish";350;9;820;42;8;28;14,6;14,5;54,7;18,7;21,3;50
"227";"Premium Crispy Chicken Club Sandwich";"Chicken & Fish";670;33;1410;58;11;36;27,9;53,2;94;25,8;29,3;64,3
"228";"Premium Grilled Chicken Club Sandwich";"Chicken & Fish";510;20;1250;44;9;40;21,2;32,3;83,3;19,6;24;71,4
"229";"Premium Crispy Chicken Ranch BLT Sandwich";"Chicken & Fish";610;28;1400;57;11;32;25,4;45,2;93,3;25,3;29,3;57,1
"230";"Premium Grilled Chicken Ranch BLT Sandwich";"Chicken & Fish";450;15;1230;43;9;36;18,8;24,2;82;19,1;24;64,3
"231";"Bacon Clubhouse Crispy Chicken Sandwich";"Chicken & Fish";750;38;1720;65;16;36;31,2;61,3;114,7;28,9;42,7;64,3
"232";"Bacon Clubhouse Grilled Chicken Sandwich";"Chicken & Fish";590;25;1560;51;14;40;24,6;40,3;104;22,7;37,3;71,4
"233";"Southern Style Crispy Chicken Sandwich";"Chicken & Fish";430;19;910;43;7;21;17,9;30,6;60,7;19,1;18,7;37,5
"234";"McChicken";"Chicken & Fish";360;16;800;40;5;14;15;25,8;53,3;17,8;13,3;25
"235";"Bacon Cheddar McChicken";"Chicken & Fish";480;24;1260;43;6;22;20;38,7;84;19,1;16;39,3
"236";"Bacon Buffalo Ranch McChicken";"Chicken & Fish";430;21;1260;41;6;20;17,9;33,9;84;18,2;16;35,7
"237";"Buffalo Ranch McChicken";"Chicken & Fish";360;16;990;40;5;14;15;25,8;66;17,8;13,3;25
"238";"Premium McWrap Chicken & Bacon (Crispy Chicken)";"Chicken & Fish";630;32;1540;56;7;32;26,2;51,6;102,7;24,9;18,7;57,1
"239";"Premium McWrap Chicken & Bacon (Grilled Chicken)";"Chicken & Fish";480;19;1370;42;6;36;20;30,6;91,3;18,7;16;64,3
"240";"Premium McWrap Chicken & Ranch (Crispy Chicken)";"Chicken & Fish";610;31;1340;56;8;27;25,4;50;89,3;24,9;21,3;48,2
"241";"Premium McWrap Chicken & Ranch (Grilled Chicken)";"Chicken & Fish";450;18;1170;42;6;30;18,8;29;78;18,7;16;53,6
"242";"Premium McWrap Southwest Chicken (Crispy Chicken)";"Chicken & Fish";670;33;1480;68;12;27;27,9;53,2;98,7;30,2;32;48,2
"243";"Premium McWrap Southwest Chicken (Grilled Chicken)";"Chicken & Fish";520;20;1320;55;10;31;21,7;32,3;88;24,4;26,7;55,4
"244";"Premium McWrap Chicken Sweet Chili (Crispy Chicken)";"Chicken & Fish";540;23;1260;61;14;23;22,5;37,1;84;27,1;37,3;41,1
"245";"Premium McWrap Chicken Sweet Chili (Grilled Chicken)";"Chicken & Fish";380;10;1090;47;12;27;15,8;16,1;72,7;20,9;32;48,2
"246";"Chicken McNuggets (4 piece)";"Chicken & Fish";190;12;360;12;0;9;7,9;19,4;24;5,3;0;16,1
"247";"Chicken McNuggets (6 piece)";"Chicken & Fish";280;18;540;18;0;13;11,7;29;36;8;0;23,2
"248";"Chicken McNuggets (10 piece)";"Chicken & Fish";470;30;900;30;0;22;19,6;48,4;60;13,3;0;39,3
"249";"Chicken McNuggets (20 piece)";"Chicken & Fish";940;59;1800;59;0;44;39,2;95,2;120;26,2;0;78,6
"250";"Chicken McNuggets (40 piece)";"Chicken & Fish";1880;118;3600;118;1;87;78,3;190,3;240;52,4;2,7;155,4
"251";"Filet-O-Fish";"Chicken & Fish";390;19;590;39;5;15;16,2;30,6;39,3;17,3;13,3;26,8
"252";"Premium Bacon Ranch Salad (without Chicken)";"Salads";140;7;300;10;4;9;5,8;11,3;20;4,4;10,7;16,1
"253";"Premium Bacon Ranch Salad with Crispy Chicken";"Salads";380;21;860;22;5;25;15,8;33,9;57,3;9,8;13,3;44,6
"254";"Premium Bacon Ranch Salad with Grilled Chicken";"Salads";220;8;690;8;4;29;9,2;12,9;46;3,6;10,7;51,8
"255";"Premium Southwest Salad (without Chicken)";"Salads";140;4,5;150;20;6;6;5,8;7,3;10;8,9;16;10,7
"256";"Premium Southwest Salad with Crispy Chicken";"Salads";450;22;850;42;12;23;18,8;35,5;56,7;18,7;32;41,1
"257";"Premium Southwest Salad with Grilled Chicken";"Salads";290;8;680;28;10;27;12,1;12,9;45,3;12,4;26,7;48,2
"258";"Chipotle BBQ Snack Wrap (Crispy Chicken)";"Snacks & Sides";340;15;780;37;8;14;14,2;24,2;52;16,4;21,3;25
"259";"Chipotle BBQ Snack Wrap (Grilled Chicken)";"Snacks & Sides";260;8;700;30;7;16;10,8;12,9;46,7;13,3;18,7;28,6
"260";"Honey Mustard Snack Wrap (Crispy Chicken)";"Snacks & Sides";330;15;730;34;3;14;13,8;24,2;48,7;15,1;8;25
"261";"Honey Mustard Snack Wrap (Grilled Chicken)";"Snacks & Sides";250;8;650;27;2;16;10,4;12,9;43,3;12;5,3;28,6
"262";"Ranch Snack Wrap (Crispy Chicken)";"Snacks & Sides";360;20;810;32;3;15;15;32,3;54;14,2;8;26,8
"263";"Ranch Snack Wrap (Grilled Chicken)";"Snacks & Sides";280;13;720;25;2;16;11,7;21;48;11,1;5,3;28,6
"264";"Small French Fries";"Snacks & Sides";230;11;130;30;0;2;9,6;17,7;8,7;13,3;0;3,6
"265";"Medium French Fries";"Snacks & Sides";340;16;190;44;0;4;14,2;25,8;12,7;19,6;0;7,1
"266";"Large French Fries";"Snacks & Sides";510;24;290;67;0;6;21,2;38,7;19,3;29,8;0;10,7
"267";"Kids French Fries";"Snacks & Sides";110;5;65;15;0;1;4,6;8,1;4,3;6,7;0;1,8
"268";"Side Salad";"Snacks & Sides";20;0;10;4;2;1;0,8;0;0,7;1,8;5,3;1,8
"269";"Apple Slices";"Snacks & Sides";15;0;0;4;3;0;0,6;0;0;1,8;8;0
"270";"Fruit 'n Yogurt Parfait";"Snacks & Sides";150;2;70;30;23;4;6,2;3,2;4,7;13,3;61,3;7,1
"271";"Baked Apple Pie";"Desserts";250;13;170;32;13;2;10,4;21;11,3;14,2;34,7;3,6
"272";"Chocolate Chip Cookie";"Desserts";160;8;90;21;15;2;6,7;12,9;6;9,3;40;3,6
"273";"Oatmeal Raisin Cookie";"Desserts";150;6;135;22;13;2;6,2;9,7;9;9,8;34,7;3,6
"274";"Kids Ice Cream Cone";"Desserts";45;1,5;20;7;6;1;1,9;2,4;1,3;3,1;16;1,8
"275";"Hot Fudge Sundae";"Desserts";330;9;170;53;48;8;13,8;14,5;11,3;23,6;128;14,3
"276";"Hot Caramel Sundae";"Desserts";340;8;150;60;43;7;14,2;12,9;10;26,7;114,7;12,5
"277";"Strawberry Sundae";"Desserts";280;6;85;49;45;6;11,7;9,7;5,7;21,8;120;10,7
"278";"Blueberry Pomegranate Smoothie (Small)";"Smoothies & Shakes";220;0,5;40;50;44;2;9,2;0,8;2,7;22,2;117,3;3,6
"279";"Blueberry Pomegranate Smoothie (Medium)";"Smoothies & Shakes";260;1;50;62;54;3;10,8;1,6;3,3;27,6;144;5,4
"280";"Blueberry Pomegranate Smoothie (Large)";"Smoothies & Shakes";340;1;65;79;70;4;14,2;1,6;4,3;35,1;186,7;7,1
"281";"Strawberry Banana Smoothie (Small)";"Smoothies & Shakes";210;0,5;50;47;44;3;8,8;0,8;3,3;20,9;117,3;5,4
"282";"Strawberry Banana Smoothie (Medium)";"Smoothies & Shakes";250;1;60;58;54;4;10,4;1,6;4;25,8;144;7,1
"283";"Strawberry Banana Smoothie (Large)";"Smoothies & Shakes";330;1;80;74;70;5;13,8;1,6;5,3;32,9;186,7;8,9
"284";"Mango Pineapple Smoothie (Small)";"Smoothies & Shakes";210;0,5;40;50;46;2;8,8;0,8;2,7;22,2;122,7;3,6
"285";"Mango Pineapple Smoothie (Medium)";"Smoothies & Shakes";260;1;45;61;56;3;10,8;1,6;3;27,1;149,3;5,4
"286";"Mango Pineapple Smoothie (Large)";"Smoothies & Shakes";340;1;60;78;72;4;14,2;1,6;4;34,7;192;7,1
"287";"Vanilla Shake (Small)";"Smoothies & Shakes";530;15;160;86;63;11;22,1;24,2;10,7;38,2;168;19,6
"288";"Vanilla Shake (Medium)";"Smoothies & Shakes";660;19;200;109;81;14;27,5;30,6;13,3;48,4;216;25
"289";"Vanilla Shake (Large)";"Smoothies & Shakes";820;23;260;135;101;18;34,2;37,1;17,3;60;269,3;32,1
"290";"Strawberry Shake (Small)";"Smoothies & Shakes";550;16;160;90;79;12;22,9;25,8;10,7;40;210,7;21,4
"291";"Strawberry Shake (Medium)";"Smoothies & Shakes";690;20;210;114;100;15;28,7;32,3;14;50,7;266,7;26,8
"292";"Strawberry Shake (Large)";"Smoothies & Shakes";850;24;260;140;123;18;35,4;38,7;17,3;62,2;328;32,1
"293";"Chocolate Shake (Small)";"Smoothies & Shakes";560;16;240;91;77;12;23,3;25,8;16;40,4;205,3;21,4
"294";"Chocolate Shake (Medium)";"Smoothies & Shakes";700;20;300;114;97;15;29,2;32,3;20;50,7;258,7;26,8
"295";"Chocolate Shake (Large)";"Smoothies & Shakes";850;23;380;141;120;19;35,4;37,1;25,3;62,7;320;33,9
"296";"Shamrock Shake (Medium)";"Smoothies & Shakes";660;19;210;109;93;14;27,5;30,6;14;48,4;248;25
"297";"Shamrock Shake (Large)";"Smoothies & Shakes";820;23;260;135;115;18;34,2;37,1;17,3;60;306,7;32,1
"298";"McFlurry with M&M’s Candies (Small)";"Smoothies & Shakes";650;23;180;96;89;13;27,1;37,1;12;42,7;237,3;23,2
"299";"McFlurry with M&M’s Candies (Medium)";"Smoothies & Shakes";930;33;260;139;128;20;38,8;53,2;17,3;61,8;341,3;35,7
"300";"McFlurry with M&M’s Candies (Snack)";"Smoothies & Shakes";430;15;120;64;59;9;17,9;24,2;8;28,4;157,3;16,1
"301";"McFlurry with Oreo Cookies (Small)";"Smoothies & Shakes";510;17;280;80;64;12;21,2;27,4;18,7;35,6;170,7;21,4
"302";"McFlurry with Oreo Cookies (Medium)";"Smoothies & Shakes";690;23;380;106;85;15;28,7;37,1;25,3;47,1;226,7;26,8
"303";"McFlurry with Oreo Cookies (Snack)";"Smoothies & Shakes";340;11;190;53;43;8;14,2;17,7;12,7;23,6;114,7;14,3
"304";"McFlurry with Reese's Peanut Butter Cups (Medium)";"Smoothies & Shakes";810;32;400;114;103;21;33,8;51,6;26,7;50,7;274,7;37,5
"305";"McFlurry with Reese's Peanut Butter Cups (Snack)";"Smoothies & Shakes";410;16;200;57;51;10;17,1;25,8;13,3;25,3;136;17,9
"306";"A.M. Crunchwrap™ Bacon";"Breakfast";660;41;1270;51;3;21;27,5;66,1;84,7;22,7;8;37,5
"307";"A.M. Crunchwrap™ Sausage";"Breakfast";700;46;1250;51;3;21;29,2;74,2;83,3;22,7;8;37,5
"308";"Bacon & Egg Burrito";"Breakfast";440;24;990;37;3;20;18,3;38,7;66;16,4;8;35,7
"309";"Bacon A.M. Griller";"Breakfast";240;14;590;16;1;12;10;22,6;39,3;7,1;2,7;21,4
"310";"Cinnabon Delights – 4 Pack";"Breakfast";260;15;130;28;16;3;10,8;24,2;8,7;12,4;42,7;5,4
"311";"Eggs";"Breakfast";60;4,5;95;1;0;3;2,5;7,3;6,3;0,4;0;5,4
"312";"Hash Brown";"Breakfast";160;11;250;14;0;1;6,7;17,7;16,7;6,2;0;1,8
"313";"Orange Juice";"Breakfast";140;0;20;33;28;2;5,8;0;1,3;14,7;74,7;3,6
"314";"Sausage & Egg Burrito";"Breakfast";430;24;860;37;2;17;17,9;38,7;57,3;16,4;5,3;30,4
"315";"Sausage A.M. Griller";"Breakfast";230;14;450;16;1;9;9,6;22,6;30;7,1;2,7;16,1
"316";"Steak & Egg Burrito";"Breakfast";380;17;790;37;3;19;15,8;27,4;52,7;16,4;8;33,9
"317";"MTN DEW A.M. 16 oz";"Breakfast";160;0;45;42;40;1;6,7;0;3;18,7;106,7;1,8
"318";"MTN DEW A.M. 20 oz";"Beef & Pork";180;0;50;47;46;1;7,5;0;3,3;20,9;122,7;1,8
"319";"7-Layer Burrito";"Beef & Pork";440;17;1020;58;4;15;18,3;27,4;68;25,8;10,7;26,8
"320";"Bacon & Egg Burrito";"Beef & Pork";440;24;990;37;3;20;18,3;38,7;66;16,4;8;35,7
"321";"Bean Burrito";"Beef & Pork";380;11;1050;56;3;15;15,8;17,7;70;24,9;8;26,8
"322";"Beefy 5-Layer Burrito";"Beef & Pork";520;21;1280;65;5;19;21,7;33,9;85,3;28,9;13,3;33,9
"323";"Black Bean Burrito";"Beef & Pork";400;12;1000;58;3;14;16,7;19,4;66,7;25,8;8;25
"324";"Burrito Supreme® – Chicken";"Chicken & Fish";390;12;1080;51;4;20;16,2;19,4;72;22,7;10,7;35,7
"325";"Burrito Supreme® – Steak";"Beef & Pork";400;13;1050;51;5;20;16,7;21;70;22,7;13,3;35,7
"326";"Burrito Supreme® – Beef";"Beef & Pork";420;16;1140;52;5;17;17,5;25,8;76;23,1;13,3;30,4
"327";"Cantina Burrito – Chicken";"Chicken & Fish";740;27;1920;94;7;32;30,8;43,5;128;41,8;18,7;57,1
"328";"Cantina Burrito – Steak";"Beef & Pork";760;28;1870;95;8;33;31,7;45,2;124,7;42,2;21,3;58,9
"329";"Cantina Burrito – Veggie";"Salads";720;25;1710;104;8;20;30;40,3;114;46,2;21,3;35,7
"330";"Cheesy Potato Burrito";"Beef & Pork";520;25;1340;57;4;18;21,7;40,3;89,3;25,3;10,7;32,1
"331";"Chicken Burrito";"Beef & Pork";410;18;960;46;3;16;17,1;29;64;20,4;8;28,6
"332";"Chili Cheese Burrito";"Beef & Pork";370;17;910;40;2;16;15,4;27,4;60,7;17,8;5,3;28,6
"333";"Combo Burrito";"Beef & Pork";460;19;1380;52;3;21;19,2;30,6;92;23,1;8;37,5
"334";"Sausage & Egg Burrito";"Beef & Pork";430;24;860;37;2;17;17,9;38,7;57,3;16,4;5,3;30,4
"335";"Smothered Burrito – Beef";"Beef & Pork";710;35;2260;70;4;28;29,6;56,5;150,7;31,1;10,7;50
"336";"Smothered Burrito – Shredded Chicken";"Chicken & Fish";650;28;2230;67;4;34;27,1;45,2;148,7;29,8;10,7;60,7
"337";"Smothered Burrito – Steak";"Beef & Pork";670;29;2080;68;4;35;27,9;46,8;138,7;30,2;10,7;62,5
"338";"Steak & Egg Burrito";"Beef & Pork";380;17;790;37;3;19;15,8;27,4;52,7;16,4;8;33,9
"339";"Volcano Burrito";"Beef & Pork";780;41;1650;79;6;23;32,5;66,1;110;35,1;16;41,1
"340";"XXL Grilled Stuft Burrito – Beef";"Beef & Pork";880;42;2200;93;7;32;36,7;67,7;146,7;41,3;18,7;57,1
"341";"XXL Grilled Stuft Burrito – Chicken";"Chicken & Fish";830;35;2080;90;7;38;34,6;56,5;138,7;40;18,7;67,9
"342";"XXL Grilled Stuft Burrito – Steak";"Beef & Pork";840;36;2030;91;7;39;35;58,1;135,3;40,4;18,7;69,6
"343";"Cantina Bowl – Chicken";"Chicken & Fish";530;21;1450;59;4;26;22,1;33,9;96,7;26,2;10,7;46,4
"344";"Cantina Bowl – Steak";"Beef & Pork";550;23;1390;60;4;26;22,9;37,1;92,7;26,7;10,7;46,4
"345";"Cantina Bowl – Veggie";"Salads";510;20;1240;69;4;14;21,2;32,3;82,7;30,7;10,7;25
"346";"Cantina Burrito – Chicken";"Chicken & Fish";740;27;1920;94;7;32;30,8;43,5;128;41,8;18,7;57,1
"347";"Cantina Burrito – Steak";"Beef & Pork";760;28;1870;95;8;33;31,7;45,2;124,7;42,2;21,3;58,9
