"";"Product_Name";"Food_Category";"Calories";"Total_Fat.g";"Sodium.mg";"Total_Carbs.g";"Sugars.g";"Protein.g";"Calories_FGC";"Fat_FGC";"Sodium_FGC";"Carboidrati_FGC";"Zucchero_FGC";"Proteine_FGC"
"348";"Cantina Burrito – Veggie";"Salads";720;25;1710;104;8;20;30;40,3;114;46,2;21,3;35,7
"349";"Cantina Double Steak Quesadilla";"Beef & Pork";960;45;2070;97;10;43;40;72,6;138;43,1;26,7;76,8
"350";"Chalupa Supreme® – Chicken";"Chicken & Fish";340;18;530;29;4;16;14,2;29;35,3;12,9;10,7;28,6
"351";"Chalupa Supreme® – Steak";"Beef & Pork";350;19;500;30;4;16;14,6;30,6;33,3;13,3;10,7;28,6
"352";"Chalupa Supreme® – Beef";"Beef & Pork";370;22;590;31;4;13;15,4;35,5;39,3;13,8;10,7;23,2
"353";"Avocado Ranch Dressing";"Snacks & Sides";80;8;100;1;0;0;3,3;12,9;6,7;0,4;0;0
"354";"Border Sauce – Fire";"Snacks & Sides";0;0;60;0;0;0;0;0;4;0;0;0
"355";"Border Sauce – Hot";"Snacks & Sides";0;0;45;0;0;0;0;0;3;0;0;0
"356";"Border Sauce – Mild";"Snacks & Sides";0;0;35;0;0;0;0;0;2,3;0;0;0
"357";"Cilantro Dressing";"Snacks & Sides";90;9;210;2;0;0;3,8;14,5;14;0,9;0;0
"358";"Creamy Jalapeno Sauce";"Snacks & Sides";70;7;50;1;1;0;2,9;11,3;3,3;0,4;2,7;0
"359";"Green Tomatillo Sauce";"Snacks & Sides";10;0;170;2;1;0;0,4;0;11,3;0,9;2,7;0
"360";"Pepper Jack Sauce";"Snacks & Sides";70;7;50;1;0;0;2,9;11,3;3,3;0,4;0;0
"361";"Pico de Gallo";"Snacks & Sides";5;0;35;1;1;0;0,2;0;2,3;0,4;2,7;0
"362";"Pizza Sauce";"Snacks & Sides";10;0;75;2;1;0;0,4;0;5;0,9;2,7;0
"363";"Red Sauce";"Snacks & Sides";10;0;180;2;0;0;0,4;0;12;0,9;0;0
"364";"Reduced Fat Sour Cream";"Snacks & Sides";30;2;20;2;1;1;1,2;3,2;1,3;0,9;2,7;1,8
"365";"Salsa";"Snacks & Sides";25;0;450;5;3;1;1;0;30;2,2;8;1,8
"366";"Salsa Verde";"Snacks & Sides";5;0;55;1;0;0;0,2;0;3,7;0,4;0;0
"367";"Fresco Burrito Supreme® – Chicken";"Chicken & Fish";340;8;1090;49;4;18;14,2;12,9;72,7;21,8;10,7;32,1
"368";"Fresco Burrito Supreme® – Steak";"Beef & Pork";350;9;1020;50;4;18;14,6;14,5;68;22,2;10,7;32,1
"369";"Fresco Chicken Soft Taco";"Chicken & Fish";140;3,5;470;16;2;10;5,8;5,6;31,3;7,1;5,3;17,9
"370";"Fresco Crunchy Taco";"Beef & Pork";150;8;310;13;1;6;6,2;12,9;20,7;5,8;2,7;10,7
"371";"Fresco Grilled Steak Soft Taco";"Beef & Pork";150;4;410;18;2;11;6,2;6,5;27,3;8;5,3;19,6
"372";"Fresco Soft Taco";"Beef & Pork";160;7;490;18;2;8;6,7;11,3;32,7;8;5,3;14,3
"373";"Cheesy Gordita Crunch";"Beef & Pork";500;29;830;39;6;20;20,8;46,8;55,3;17,3;16;35,7
"374";"Gordita Supreme® – Chicken";"Snacks & Sides";270;10;510;29;6;16;11,2;16,1;34;12,9;16;28,6
"375";"Gordita Supreme® – Steak";"Snacks & Sides";280;11;480;30;6;16;11,7;17,7;32;13,3;16;28,6
"376";"Gordita Supreme® – Beef";"Snacks & Sides";300;14;570;31;6;13;12,5;22,6;38;13,8;16;23,2
"377";"Cheesy Nachos";"Snacks & Sides";290;16;340;31;2;4;12,1;25,8;22,7;13,8;5,3;7,1
"378";"Nachos";"Snacks & Sides";320;19;430;33;3;4;13,3;30,6;28,7;14,7;8;7,1
"379";"Nachos BellGrande®";"Snacks & Sides";780;40;1270;84;6;20;32,5;64,5;84,7;37,3;16;35,7
"380";"Nachos Supreme";"Snacks & Sides";460;25;830;46;4;13;19,2;40,3;55,3;20,4;10,7;23,2
"381";"Volcano Nachos";"Snacks & Sides";990;59;1840;94;7;22;41,2;95,2;122,7;41,8;18,7;39,3
"382";"Black Beans";"Snacks & Sides";80;1,5;200;12;1;4;3,3;2,4;13,3;5,3;2,7;7,1
"383";"Black Beans and Rice";"Snacks & Sides";180;4;430;30;1;6;7,5;6,5;28,7;13,3;2,7;10,7
"384";"Brownie Sandwich";"Snacks & Sides";400;18;200;55;38;3;16,7;29;13,3;24,4;101,3;5,4
"385";"Caramel Apple Empanada";"Snacks & Sides";310;15;310;39;13;3;12,9;24,2;20,7;17,3;34,7;5,4
"386";"Cheesy Fiesta Potatoes";"Snacks & Sides";280;15;580;31;2;4;11,7;24,2;38,7;13,8;5,3;7,1
"387";"Chips and Corn Salsa";"Snacks & Sides";280;12;230;38;5;4;11,7;19,4;15,3;16,9;13,3;7,1
"388";"Chips and Guacamole";"Snacks & Sides";320;20;450;32;1;4;13,3;32,3;30;14,2;2,7;7,1
"389";"Chips and Pico De Gallo";"Snacks & Sides";230;11;260;30;2;3;9,6;17,7;17,3;13,3;5,3;5,4
"390";"Churro";"Snacks & Sides";190;8;230;28;5;2;7,9;12,9;15,3;12,4;13,3;3,6
"391";"Cinnamon Twists";"Snacks & Sides";170;7;200;26;10;1;7,1;11,3;13,3;11,6;26,7;1,8
"392";"Pintos n Cheese";"Snacks & Sides";190;7;670;21;1;11;7,9;11,3;44,7;9,3;2,7;19,6
"393";"Premium Latin Rice";"Snacks & Sides";100;2,5;230;18;0;2;4,2;4;15,3;8;0;3,6
"394";"A.M. Crunchwrap™ Bacon";"Beef & Pork";660;41;1270;51;3;21;27,5;66,1;84,7;22,7;8;37,5
"395";"A.M. Crunchwrap™ Sausage";"Snacks & Sides";700;46;1250;51;3;21;29,2;74,2;83,3;22,7;8;37,5
"396";"Bacon A.M. Griller";"Beef & Pork";240;14;590;16;1;12;10;22,6;39,3;7,1;2,7;21,4
"397";"Beefy Nacho Griller";"Snacks & Sides";420;19;890;49;4;12;17,5;30,6;59,3;21,8;10,7;21,4
"398";"Cantina Bowl – Chicken";"Chicken & Fish";530;21;1450;59;4;26;22,1;33,9;96,7;26,2;10,7;46,4
"399";"Cantina Bowl – Steak";"Beef & Pork";550;23;1390;60;4;26;22,9;37,1;92,7;26,7;10,7;46,4
"400";"Cantina Bowl – Veggie";"Salads";510;20;1240;69;4;14;21,2;32,3;82,7;30,7;10,7;25
"401";"Cantina Double Steak Quesadilla";"Beef & Pork";960;45;2070;97;10;43;40;72,6;138;43,1;26,7;76,8
"402";"Cheese Quesadilla";"Beef & Pork";470;26;990;39;3;19;19,6;41,9;66;17,3;8;33,9
"403";"Cheese Roll-Up";"Beef & Pork";180;9;430;16;1;9;7,5;14,5;28,7;7,1;2,7;16,1
"404";"Chicken Quesadilla";"Chicken & Fish";510;28;1190;39;3;27;21,2;45,2;79,3;17,3;8;48,2
"405";"Chili Cheese Burrito";"Beef & Pork";370;17;910;40;2;16;15,4;27,4;60,7;17,8;5,3;28,6
"406";"Crunchwrap Supreme®";"Beef & Pork";530;20;1090;70;6;16;22,1;32,3;72,7;31,1;16;28,6
"407";"Express Taco Salad w/ Chips";"Salads";580;29;1370;57;6;23;24,2;46,8;91,3;25,3;16;41,1
"408";"Loaded Potato Griller";"Snacks & Sides";470;22;1120;55;5;13;19,6;35,5;74,7;24,4;13,3;23,2
"409";"MexiMelt®";"Snacks & Sides";260;14;730;19;2;14;10,8;22,6;48,7;8,4;5,3;25
"410";"Mexican Pizza";"Snacks & Sides";550;31;950;48;3;21;22,9;50;63,3;21,3;8;37,5
"411";"Sausage A.M. Griller";"Snacks & Sides";230;14;450;16;1;9;9,6;22,6;30;7,1;2,7;16,1
"412";"Smothered Burrito – Beef";"Beef & Pork";710;35;2260;70;4;28;29,6;56,5;150,7;31,1;10,7;50
"413";"Smothered Burrito – Shredded Chicken";"Chicken & Fish";650;28;2230;67;4;34;27,1;45,2;148,7;29,8;10,7;60,7
"414";"Smothered Burrito – Steak";"Beef & Pork";670;29;2080;68;4;35;27,9;46,8;138,7;30,2;10,7;62,5
"415";"Spicy Buffalo Chicken Griller";"Chicken & Fish";350;15;810;40;4;15;14,6;24,2;54;17,8;10,7;26,8
"416";"Steak Quesadilla";"Beef & Pork";520;28;1160;40;3;27;21,7;45,2;77,3;17,8;8;48,2
"417";"Tostada";"Beef & Pork";270;11;650;31;1;12;11,2;17,7;43,3;13,8;2,7;21,4
"418";"Express Taco Salad w/ Chips";"Salads";580;29;1370;57;6;23;24,2;46,8;91,3;25,3;16;41,1
"419";"Fiesta Taco Salad-Beef";"Salads";780;42;1590;74;7;26;32,5;67,7;106;32,9;18,7;46,4
"420";"Fiesta Taco Salad-Chicken";"Salads";730;35;1470;71;7;32;30,4;56,5;98;31,6;18,7;57,1
"421";"Fiesta Taco Salad-Steak";"Salads";750;36;1410;72;7;33;31,2;58,1;94;32;18,7;58,9
"422";"Chicken Soft Taco";"Snacks & Sides";160;5;480;16;1;12;6,7;8,1;32;7,1;2,7;21,4
"423";"Cool Ranch® Doritos® Locos Taco";"Snacks & Sides";160;10;370;13;1;8;6,7;16,1;24,7;5,8;2,7;14,3
"424";"Cool Ranch® Doritos® Locos Taco Supreme";"Snacks & Sides";200;12;390;15;3;8;8,3;19,4;26;6,7;8;14,3
"425";"Crispy Potato Soft Taco";"Snacks & Sides";250;12;490;29;1;6;10,4;19,4;32,7;12,9;2,7;10,7
"426";"Crunchy Taco";"Snacks & Sides";170;10;310;12;1;8;7,1;16,1;20,7;5,3;2,7;14,3
"427";"Crunchy Taco Supreme®";"Snacks & Sides";200;12;340;15;2;9;8,3;19,4;22,7;6,7;5,3;16,1
"428";"DOUBLE DECKER® Taco Supreme®";"Snacks & Sides";350;16;730;39;3;14;14,6;25,8;48,7;17,3;8;25
"429";"Double Decker® Taco";"Snacks & Sides";320;14;710;36;2;14;13,3;22,6;47,3;16;5,3;25
"430";"Fiery Doritos® Locos Taco";"Snacks & Sides";170;10;370;12;1;8;7,1;16,1;24,7;5,3;2,7;14,3
"431";"Fiery Doritos® Locos Taco Supreme";"Snacks & Sides";200;12;390;15;2;9;8,3;19,4;26;6,7;5,3;16,1
"432";"Fresco Chicken Soft Taco";"Snacks & Sides";140;3,5;470;16;2;10;5,8;5,6;31,3;7,1;5,3;17,9
"433";"Fresco Crunchy Taco";"Snacks & Sides";150;8;310;13;1;6;6,2;12,9;20,7;5,8;2,7;10,7
"434";"Grilled Steak Soft Taco";"Snacks & Sides";200;9;450;17;2;13;8,3;14,5;30;7,6;5,3;23,2
"435";"Nacho Cheese Doritos® Locos Taco";"Snacks & Sides";170;10;360;13;1;8;7,1;16,1;24;5,8;2,7;14,3
"436";"Nacho Cheese Doritos® Locos Taco Supreme";"Snacks & Sides";200;12;390;15;2;9;8,3;19,4;26;6,7;5,3;16,1
"437";"Soft Taco Supreme® – Beef";"Snacks & Sides";220;11;520;20;3;10;9,2;17,7;34,7;8,9;8;17,9
"438";"Soft Taco-Beef";"Snacks & Sides";190;9;500;18;1;9;7,9;14,5;33,3;8;2,7;16,1
"439";"Apple Pecan Chicken Salad ";"Salads";350;11;96;27;17;35;14,6;17,7;6,4;12;45,3;62,5
"440";"Apple Pecan Chicken Salad Half-Size ";"Salads";180;6;61;14;9;18;7,5;9,7;4,1;6,2;24;32,1
"441";"Roasted Pecans";"Salads";110;9;72;6;4;1;4,6;14,5;4,8;2,7;10,7;1,8
"442";"Baja Chili Salad";"Salads";530;31;30;34;10;32;22,1;50;2;15,1;26,7;57,1
"443";"Baja Chili Salad Half-Size";"Salads";280;16;86;18;6;16;11,7;25,8;5,7;8;16;28,6
"444";"Seasoned Tortilla Strips";"Snacks & Sides";80;5;8;11;0;1;3,3;8,1;0,5;4,9;0;1,8
"445";"Chicken BLT Cobb Salad ";"Salads";380;18;16;11;4;44;15,8;29;1,1;4,9;10,7;78,6
"446";"Chicken BLT Cobb Salad Half-Size ";"Salads";190;9;73;6;2;22;7,9;14,5;4,9;2,7;5,3;39,3
"447";"Spicy Chicken Caesar Salad";"Salads";480;27;6;24;3;35;20;43,5;0,4;10,7;8;62,5
"448";"Spicy Chicken Caesar Salad Half-Size";"Salads";250;14;67;14;2;18;10,4;22,6;4,5;6,2;5,3;32,1
"449";"Garden Side Salad";"Salads";20;0;49;4;2;1;0,8;0;3,3;1,8;5,3;1,8
"450";"Gourmet Croutons";"Snacks & Sides";80;3;36;13;0;2;3,3;4,8;2,4;5,8;0;3,6
"451";"Caesar Side Salad";"Salads";60;4;76;4;1;4;2,5;6,5;5,1;1,8;2,7;7,1
"452";"Lemon Garlic Caesar Dressing ";"Snacks & Sides";110;11;34;2;1;2;4,6;17,7;2,3;0,9;2,7;3,6
"453";"Apple Slices";"Snacks & Sides";40;0;1;9;7;0;1,7;0;0,1;4;18,7;0
"454";"Plain Baked Potato (avg. wgt. 10 oz.)";"Snacks & Sides";270;0;42;61;3;7;11,2;0;2,8;27,1;8;12,5
"455";"Sour Cream & Chive Baked Potato";"Snacks & Sides";320;4;64;63;4;8;13,3;6,5;4,3;28;10,7;14,3
"456";"Buttery Best Spread";"Snacks & Sides";50;6;95;0;0;0;2,1;9,7;6,3;0;0;0
"457";"Rich & Meaty Chili; Small";"Snacks & Sides";180;5;83;20;5;13;7,5;8,1;5,5;8,9;13,3;23,2
"458";"Rich & Meaty Chili; Large";"Snacks & Sides";270;8;15;31;8;19;11,2;12,9;1;13,8;21,3;33,9
"459";"Hot Chili Seasoning Packet";"Snacks & Sides";5;0;47;1;1;0;0,2;0;3,1;0,4;2,7;0
"460";"Saltine Crackers";"Snacks & Sides";25;1;84;5;0;1;1;1,6;5,6;2,2;0;1,8
"461";"Cheddar Cheese; Shredded";"Snacks & Sides";70;6;11;1;0;4;2,9;9,7;0,7;0,4;0;7,1
"462";"Chili Cheese Fries";"Snacks & Sides";530;28;9;55;4;16;22,1;45,2;0,6;24,4;10,7;28,6
"463";"Value Natural-Cut Fries";"Snacks & Sides";220;11;41;28;0;3;9,2;17,7;2,7;12,4;0;5,4
"464";"Small Natural-Cut Fries";"Snacks & Sides";310;15;51;40;0;4;12,9;24,2;3,4;17,8;0;7,1
"465";"Medium Natural-Cut Fries";"Snacks & Sides";410;20;58;52;0;5;17,1;32,3;3,9;23,1;0;8,9
"466";"Large Natural-Cut Fries";"Snacks & Sides";500;24;69;65;0;6;20,8;38,7;4,6;28,9;0;10,7
"467";"Ketchup; 1 Packet";"Snacks & Sides";10;0;76;2;2;0;0,4;0;5,1;0,9;5,3;0
"468";"4-Piece Regular Chicken Nuggets";"Snacks & Sides";180;12;53;10;0;9;7,5;19,4;3,5;4,4;0;16,1
"469";"4-Piece Spicy Chicken Nuggets";"Snacks & Sides";170;11;65;9;0;10;7,1;17,7;4,3;4;0;17,9
"470";"6-Piece Regular Chicken Nuggets";"Snacks & Sides";270;18;67;14;0;14;11,2;29;4,5;6,2;0;25
"471";"6-Piece Spicy Chicken Nuggets";"Snacks & Sides";260;17;81;14;0;15;10,8;27,4;5,4;6,2;0;26,8
"472";"10-Piece Chicken Nuggets";"Snacks & Sides";450;30;91;24;0;23;18,8;48,4;6,1;10,7;0;41,1
"473";"Jr. Hamburger";"Beef & Pork";250;10;73;25;5;14;10,4;16,1;4,9;11,1;13,3;25
"474";"Jr. Cheeseburger";"Beef & Pork";290;13;85;26;6;16;12,1;21;5,7;11,6;16;28,6
"475";"Jr. Bacon Cheeseburger (JBC)";"Beef & Pork";390;22;91;26;5;20;16,2;35,5;6,1;11,6;13,3;35,7
"476";"Jr. Cheeseburger Deluxe";"Beef & Pork";350;19;87;27;7;17;14,6;30,6;5,8;12;18,7;30,4
"477";"Double Stack™";"Beef & Pork";420;21;10;26;6;27;17,5;33,9;0,7;11,6;16;48,2
"478";"Hamburger; Kids’ Meal";"Beef & Pork";250;10;68;25;5;14;10,4;16,1;4,5;11,1;13,3;25
"479";"Cheeseburger; Kids’ Meal";"Beef & Pork";290;13;78;26;6;16;12,1;21;5,2;11,6;16;28,6
"480";"1/4 lb. Single w/ Cheese";"Beef & Pork";580;31;19;42;10;30;24,2;50;1,3;18,7;26,7;53,6
"481";"1/2 lb. Double w/ Cheese";"Beef & Pork";820;47;27;42;10;48;34,2;75,8;1,8;18,7;26,7;85,7
"482";"3/4 lb. Triple w/ Cheese";"Beef & Pork";1090;66;37;43;11;69;45,4;106,5;2,5;19,1;29,3;123,2
"483";"Baconator®";"Beef & Pork";940;56;35;41;9;57;39,2;90,3;2,3;18,2;24;101,8
"484";"Son of Baconator®";"Beef & Pork";670;37;33;41;9;38;27,9;59,7;2,2;18,2;24;67,9
"485";"Ultimate Chicken Grill Sandwich";"Chicken & Fish";370;7;92;43;9;34;15,4;11,3;6,1;19,1;24;60,7
"486";"Spicy Chicken Sandwich";"Chicken & Fish";510;20;13;55;7;29;21,2;32,3;0,9;24,4;18,7;51,8
"487";"Homestyle Chicken Sandwich";"Chicken & Fish";510;20;18;54;8;29;21,2;32,3;1,2;24;21,3;51,8
"488";"Asiago Ranch Club w/ Homestyle Chicken";"Chicken & Fish";670;32;32;57;9;38;27,9;51,6;2,1;25,3;24;67,9
"489";"Asiago Ranch Club w/ Ultimate Chicken Gril";"Chicken & Fish";530;21;21;43;8;43;22,1;33,9;1,4;19,1;21,3;76,8
"490";"Asiago Ranch Club w/ Spicy Chicken";"Chicken & Fish";670;32;29;57;8;37;27,9;51,6;1,9;25,3;21,3;66,1
"491";"Crispy Chicken Sandwich";"Chicken & Fish";380;20;75;35;4;15;15,8;32,3;5;15,6;10,7;26,8
"492";"Crispy Chicken Caesar Wrap";"Chicken & Fish";440;26;96;33;1;17;18,3;41,9;6,4;14,7;2,7;30,4
"493";"Grilled Chicken Go Wrap";"Chicken & Fish";260;10;79;25;3;19;10,8;16,1;5,3;11,1;8;33,9
"494";"Homestyle Chicken Go Wrap";"Chicken & Fish";340;17;94;30;1;17;14,2;27,4;6,3;13,3;2,7;30,4
"495";"Spicy Chicken Go Wrap";"Chicken & Fish";330;16;91;30;1;17;13,8;25,8;6,1;13,3;2,7;30,4
"496";"Chocolate Frosty; Small";"Desserts";290;7;22;48;40;8;12,1;11,3;1,5;21,3;106,7;14,3
"497";"Vanilla Frosty; Small";"Desserts";280;7;22;46;39;8;11,7;11,3;1,5;20,4;104;14,3
"498";"Chocolate Frosty Shake; Small";"Desserts";580;13;44;104;93;11;24,2;21;2,9;46,2;248;19,6
"499";"Chocolate Frosty Shake; Large";"Desserts";870;17;55;164;148;15;36,2;27,4;3,7;72,9;394,7;26,8
"500";"Strawberry Frosty Shake; Small";"Desserts";540;12;34;97;86;10;22,5;19,4;2,3;43,1;229,3;17,9
"501";"Strawberry Frosty Shake; Large";"Desserts";780;15;41;149;134;13;32,5;24,2;2,7;66,2;357,3;23,2
"502";"Caramel Frosty Shake; Small";"Desserts";650;14;50;121;96;10;27,1;22,6;3,3;53,8;256;17,9
"503";"Caramel Frosty Shake; Large";"Desserts";990;18;66;195;153;14;41,2;29;4,4;86,7;408;25
"504";"Chocolate Frosty Waffle Cone";"Desserts";300;6;31;54;35;7;12,5;9,7;2,1;24;93,3;12,5
"505";"Vanilla Frosty Waffle Cone";"Desserts";290;0;31;53;34;7;12,1;0;2,1;23,6;90,7;12,5
"506";"Artisan Egg Sandwich with Applewood Smoked Bacon";"Snacks & Sides";350;18;78;29;4;18;14,6;29;5,2;12,9;10,7;32,1
"507";"Artisan Egg Sandwich with All-Natural Sausage";"Snacks & Sides";500;32;91;30;4;24;20,8;51,6;6,1;13,3;10,7;42,9
"508";"Artisan Sandwich with Egg & Cheese";"Snacks & Sides";290;13;68;29;4;15;12,1;21;4,5;12,9;10,7;26,8
"509";"Mornin’ Melt™ Panini with Applewood Smoked Bacon";"Snacks & Sides";540;35;90;33;4;30;22,5;56,5;6;14,7;10,7;53,6
"510";"Mornin’ Melt Panini with All-Natural Sausage";"Snacks & Sides";650;46;93;33;3;34;27,1;74,2;6,2;14,7;8;60,7
"511";"Mornin’ Melt Panini with Egg & Cheese";"Snacks & Sides";450;27;71;33;3;25;18,8;43,5;4,7;14,7;8;44,6
"512";"Fresh-Baked Biscuit with Applewood Smoked Bacon";"Snacks & Sides";420;23;20;36;4;17;17,5;37,1;1,3;16;10,7;30,4
"513";"Fresh-Baked Biscuit with All-Natural Sausage";"Snacks & Sides";570;36;23;37;5;23;23,8;58,1;1,5;16,4;13,3;41,1
"514";"Fresh-Baked Biscuit with Egg & Cheese";"Snacks & Sides";360;18;10;36;4;14;15;29;0,7;16;10,7;25
"515";"Toasted Bagel Sandwich with Applewood Smoked Bacon";"Snacks & Sides";480;18;5;57;8;24;20;29;0,3;25,3;21,3;42,9
"516";"Toasted Bagel Sandwich with All-Natural Sausage";"Snacks & Sides";600;29;7;57;8;28;25;46,8;0,5;25,3;21,3;50
"517";"Toasted Bagel Sandwich with Egg and Cheddar";"Snacks & Sides";390;10;77;56;7;19;16,2;16,1;5,1;24,9;18,7;33,9
"518";"Honey Butter Chicken Biscuit";"Snacks & Sides";510;25;24;52;9;21;21,2;40,3;1,6;23,1;24;37,5
"519";"Sunny Side Burger, Jr. Single";"Beef & Pork";470;27;5;29;4;28;19,6;43,5;0,3;12,9;10,7;50
"520";"Steel-Cut Oatmeal with Cranberries and Pecans";"Snacks & Sides";330;12;44;57;33;5;13,8;19,4;2,9;25,3;88;8,9
"521";"Steel-Cut Oatmeal with Summer Berries";"Snacks & Sides";140;2;36;31;11;4;5,8;3,2;2,4;13,8;29,3;7,1
"522";"Steel-Cut Oatmeal with Apples and Caramel";"Snacks & Sides";160;2;38;38;17;4;6,7;3,2;2,5;16,9;45,3;7,1
"523";"Steel-Cut Oatmeal; Plain";"Snacks & Sides";150;3;40;33;10;5;6,2;4,8;2,7;14,7;26,7;8,9
"524";"Brown Sugar";"Snacks & Sides";40;0;1;9;9;0;1,7;0;0,1;4;24;0
"525";"Sausage & Egg Burrito";"Snacks & Sides";270;20;74;12;1;12;11,2;32,3;4,9;5,3;2,7;21,4
"526";"Hot Sauce";"Snacks & Sides";10;0;22;2;1;0;0,4;0;1,5;0,9;2,7;0
"527";"Sausage Biscuit";"Snacks & Sides";460;29;12;37;4;13;19,2;46,8;0,8;16,4;10,7;23,2
"528";"Sausage Gravy & Biscuit";"Snacks & Sides";460;24;28;51;5;9;19,2;38,7;1,9;22,7;13,3;16,1
"529";"Toasted Bagel; Plain";"Snacks & Sides";270;1;69;55;7;9;11,2;1,6;4,6;24,4;18,7;16,1
"530";"Buttery Best Spread";"Snacks & Sides";50;5;95;0;0;0;2,1;8,1;6,3;0;0;0
"531";"Seasoned Homestyle Potatoes";"Snacks & Sides";230;9;77;34;0;2;9,6;14,5;5,1;15,1;0;3,6
"532";"Orange Juice; Small";"Snacks & Sides";130;0;1;30;23;2;5,4;0;0,1;13,3;61,3;3,6
"533";"Oatmeal Bar";"Desserts";280;10;39;46;24;4;11,7;16,1;2,6;20,4;64;7,1
"534";"Cinna-Middles";"Desserts";540;30;74;62;25;7;22,5;48,4;4,9;27,6;66,7;12,5
"535";"Chocolate Chunk Cookie";"Desserts";390;21;46;51;30;4;16,2;33,9;3,1;22,7;80;7,1
"536";"Sugar Cookie";"Desserts";390;19;54;53;28;4;16,2;30,6;3,6;23,6;74,7;7,1
"537";"Chocolate Brownie";"Desserts";400;18;36;57;44;5;16,7;29;2,4;25,3;117,3;8,9
"538";"Oreo® Brownie";"Desserts";470;21;45;68;50;5;19,6;33,9;3;30,2;133,3;8,9
